 time      seg dst      amp      flag
 4064      0   1.583    568.857  9  
 4183      7   1.684    544.914  9  
 4183      6   1.671    546.268  9  
 4183      5   1.662    554.771  9  
 4183      4   1.650    548.410  9  
 4183      3   1.652    553.959  9  
 4183      2   1.714    542.805  9  
 4183      1   1.718    546.499  9  
 4183      0   1.764    507.493  9  
 4183      7   1.684    544.914  9  
 4183      6   1.671    546.268  9  
 4183      5   1.662    554.771  9  
 4183      4   1.650    548.410  9  
 4183      3   1.652    553.959  9  
 4183      2   1.714    542.805  9  
 4183      1   1.718    546.499  9  
 4183      0   1.764    507.493  9  
 4296      7   1.786    542.713  9  
 4296      6   1.783    543.396  9  
 4296      5   1.780    552.150  9  
 4296      4   1.765    545.180  9  
 4296      3   1.772    548.187  9  
 4296      2   1.823    537.603  9  
 4296      1   1.851    525.719  9  
 4296      7   1.786    542.713  9  
 4296      6   1.783    543.396  9  
 4296      5   1.780    552.150  9  
 4296      4   1.765    545.180  9  
 4296      3   1.772    548.187  9  
 4296      2   1.823    537.603  9  
 4296      1   1.851    525.719  9  
 4355      7   1.831    540.980  9  
 4355      6   1.826    541.680  9  
 4355      5   1.827    550.417  9  
 4355      4   1.811    542.348  9  
 4355      3   1.818    544.306  9  
 4355      2   1.886    535.317  9  
 4355      1   1.930    501.050  9  
 4355      7   1.831    540.980  9  
 4355      6   1.826    541.680  9  
 4355      5   1.827    550.417  9  
 4355      4   1.811    542.348  9  
 4355      3   1.818    544.306  9  
 4355      2   1.886    535.317  9  
 4355      1   1.930    501.050  9  
 4467      7   1.928    537.435  9  
 4467      6   1.917    540.223  9  
 4467      5   1.910    547.460  9  
 4467      4   1.899    540.144  9  
 4467      3   1.921    537.108  9  
 4467      2   1.992    526.841  9  
 4467      1   2.052    323.590  1  
 4467      7   1.928    537.435  9  
 4467      6   1.917    540.223  9  
 4467      5   1.910    547.460  9  
 4467      4   1.899    540.144  9  
 4467      3   1.921    537.108  9  
 4467      2   1.992    526.841  9  
 4467      1   2.052    323.590  1  
 4526      7   1.976    536.289  9  
 4526      6   1.965    539.100  9  
 4526      5   1.959    546.576  9  
 4526      4   1.948    538.506  9  
 4526      3   1.972    535.926  9  
 4526      2   2.038    522.502  9  
 4526      1   2.119    255.457  1  
 4526      7   1.976    536.289  9  
 4526      6   1.965    539.100  9  
 4526      5   1.959    546.576  9  
 4526      4   1.948    538.506  9  
 4526      3   1.972    535.926  9  
 4526      2   2.038    522.502  9  
 4526      1   2.119    255.457  1  
 4638      7   2.072    533.667  9  
 4638      6   2.063    535.357  9  
 4638      5   2.062    543.668  9  
 4638      4   2.050    534.332  9  
 4638      3   2.062    535.514  9  
 4638      2   2.143    516.771  9  
 4638      1   2.242    209.232  1  
 4638      7   2.072    533.667  9  
 4638      6   2.063    535.357  9  
 4638      5   2.062    543.668  9  
 4638      4   2.050    534.332  9  
 4638      3   2.062    535.514  9  
 4638      2   2.143    516.771  9  
 4638      1   2.242    209.232  1  
 4755      7   2.199    525.574  9  
 4755      6   2.175    532.232  9  
 4755      5   2.158    540.090  9  
 4755      4   2.158    532.001  9  
 4755      3   2.174    535.168  9  
 4755      2   2.243    518.772  9  
 4755      1   2.335    253.386  1  
 4755      7   2.199    525.574  9  
 4755      6   2.175    532.232  9  
 4755      5   2.158    540.090  9  
 4755      4   2.158    532.001  9  
 4755      3   2.174    535.168  9  
 4755      2   2.243    518.772  9  
 4755      1   2.335    253.386  1  
 4808      7   2.275    522.159  9  
 4808      6   2.239    525.792  9  
 4808      5   2.213    538.325  9  
 4808      4   2.224    529.853  9  
 4808      3   2.239    532.960  9  
 4808      2   2.284    519.095  9  
